StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,Nalation,NalOnOff,NameLR
,30,キース,…で、険しい顔で斧なんか持ってよ　どうしたんだ,2,0,0,10,ON,OFF,OFF,SHADE,0,,36,36,,,,,,,,1
,31,ヴィック,稲刈の季節だからな,2,0,0,10,SHADE,OFF,OFF,ON,0,,36,36,,,,,,,,0
,32,キース,植物なんて育ってねえだろ,2,0,0,10,ON,OFF,OFF,SHADE,0,,36,36,,,,,,,,0
,33,ヴィック,育てるために悪の根源を刈るわけだ,2,0,0,10,SHADE,OFF,OFF,ON,0,,36,36,,,,,,,,1
,34,キース,なるほどな,2,0,0,10,ON,OFF,OFF,SHADE,0,,36,36,,,,,,,,0
,35,ヴィック,ま、これからもよろしく頼むぜ,2,0,0,10,SHADE,OFF,OFF,ON,0,,36,36,,,,,,,,1
,36,フウスイ,やってきた以上、生きては帰せねえな…,0,0,0,15,OFF,OFF,OFF,ON,0,,37,37,,,,,,,,1
,37,フィーナ,フウスイ、覚悟！,9,0,0,15,ON,OFF,OFF,SHADE,0,,39,39,,,,,,,,0
,38,フウスイ,てめーはさっきの…そんな腕で何ができる　俺が本当の戦いを教えてやるよ,9,0,0,15,SHADE,OFF,OFF,ON,0,,39,39,,,,,,,,1
,39,フウスイ,ヴィック…俺に歯向かうか。覚悟はできてんだろうな,10,0,0,15,ON,OFF,OFF,SHADE,0,,41,41,,,,,,,,0
,40,ヴィック,できてるできてる,10,0,0,15,SHADE,OFF,OFF,ON,0,,41,41,,,,,,,,1
,41,フウスイ,俺を倒したところで世界は地獄のままだぜ　グハハハハ…,0,0,0,15,OFF,OFF,OFF,ON,1,,0,41,,,,,,,,1
,42,,,,,,,,,,,,,,,,,,,,,,
